Time,ObjectCount,FPS,PhysicsTime(ms),TotalMemory(MB),ActiveObjects
0.00,1000,420.6,0.0000,1138,1000
0.02,1000,78.8,0.0000,1137,1000
0.02,1000,397.1,0.5564,1138,1000
0.02,1000,578.3,0.0000,1138,1000
0.02,1000,655.6,0.0000,1138,1000
0.02,1000,672.0,0.0000,1138,1000
0.02,1000,678.8,0.0000,1138,1000
0.03,1000,687.5,0.0000,1138,1000
0.03,1000,686.4,0.0000,1138,1000
0.03,1000,693.2,0.0000,1138,1000
0.03,1000,629.4,0.0000,1139,1000
0.03,1000,663.3,0.0000,1139,1000
0.03,1000,654.0,0.0000,1139,1000
0.03,1000,455.7,0.2830,1139,1000
0.04,1000,611.9,0.0000,1139,1000
0.04,1000,656.9,0.0000,1139,1000
0.04,1000,585.5,0.0000,1139,1000
0.04,1000,670.8,0.0000,1139,1000
0.04,1000,646.7,0.0000,1139,1000
0.04,1000,625.6,0.0000,1139,1000
0.05,1000,485.4,0.0000,1139,1000
0.05,1000,584.2,0.0000,1140,1000
0.05,1000,664.8,0.0000,1140,1000
0.05,1000,687.9,0.0000,1140,1000
0.05,1000,668.6,0.0000,1140,1000
0.06,1000,187.6,0.3108,1140,1000
0.06,1000,252.4,0.0000,1140,1000
0.06,1000,612.3,0.0000,1138,1000
0.07,1000,596.8,0.0000,1138,1000
0.07,1000,563.8,0.0000,1138,1000
0.07,1000,532.0,0.0000,1138,1000
0.07,1000,627.4,0.0000,1138,1000
0.07,1000,643.0,0.0000,1138,1000
0.07,1000,472.4,0.2960,1138,1000
0.08,1000,652.6,0.0000,1138,1000
0.08,1000,644.2,0.0000,1139,1000
0.08,1000,613.6,0.0000,1139,1000
0.08,1000,671.8,0.0000,1139,1000
0.08,1000,573.1,0.0000,1139,1000
0.08,1000,682.6,0.0000,1139,1000
0.09,1000,691.8,0.0000,1139,1000
0.09,1000,668.1,0.0000,1139,1000
0.09,1000,685.2,0.0000,1139,1000
0.09,1000,672.1,0.0000,1139,1000
0.09,1000,662.6,0.0000,1139,1000
0.09,1000,641.4,0.0000,1139,1000
0.09,1000,465.0,0.3127,1139,1000
0.10,1000,688.1,0.0000,1139,1000
0.10,1000,688.5,0.0000,1139,1000
0.10,1000,649.9,0.0000,1139,1000
0.10,1000,679.0,0.0000,1139,1000
0.10,1000,694.1,0.0000,1139,1000
0.10,1000,643.1,0.0000,1139,1000
0.11,1000,676.7,0.0000,1139,1000
0.11,1000,683.9,0.0000,1139,1000
0.11,1000,567.5,0.0000,1139,1000
0.11,1000,658.1,0.0000,1139,1000
0.11,1000,685.8,0.0000,1139,1000
0.11,1000,645.6,0.0000,1139,1000
0.12,1000,435.3,0.2850,1139,1000
0.12,1000,683.5,0.0000,1140,1000
0.12,1000,666.3,0.0000,1140,1000
0.12,1000,638.2,0.0000,1140,1000
0.12,1000,556.4,0.0000,1140,1000
0.12,1000,580.4,0.0000,1140,1000
0.12,1000,690.4,0.0000,1140,1000
0.13,1000,681.2,0.0000,1140,1000
