Time,ObjectCount,FPS,FrameTime(ms),PhysicsTime(ms),TotalMemory(MB),ActiveObjects
0.00,5000,451.2,2.2162,0.0000,713,5000
0.06,5000,18.0,55.4219,0.0000,732,5000
0.07,5000,86.3,11.5883,5.1493,735,5000
0.07,5000,216.4,4.6206,0.7758,735,5000
0.08,5000,500.5,1.9982,0.0000,735,5000
0.08,5000,444.1,2.2519,0.0000,735,5000
0.08,5000,300.5,3.3281,0.0000,735,5000
0.08,5000,382.7,2.6132,0.0000,735,5000
0.09,5000,549.7,1.8192,0.0000,735,5000
0.09,5000,550.8,1.8156,0.0000,735,5000
0.09,5000,210.0,4.7619,0.7680,735,5000
0.09,5000,540.9,1.8489,0.0000,735,5000
0.10,5000,545.0,1.8348,0.0000,735,5000
0.10,5000,349.9,2.8580,0.0000,735,5000
0.10,5000,533.5,1.8743,0.0000,735,5000
0.10,5000,537.0,1.8622,0.0000,735,5000
0.11,5000,399.1,2.5058,0.0000,735,5000
0.11,5000,497.9,2.0084,0.0000,735,5000
0.11,5000,254.4,3.9307,0.8599,735,5000
0.11,5000,439.2,2.2771,0.0000,735,5000
0.12,5000,537.7,1.8599,0.0000,735,5000
0.12,5000,554.6,1.8032,0.0000,735,5000
0.12,5000,558.0,1.7921,0.0000,735,5000
0.12,5000,452.8,2.2083,0.0000,735,5000
0.12,5000,496.2,2.0152,0.0000,735,5000
0.12,5000,531.7,1.8806,0.0000,736,5000
0.13,5000,555.1,1.8016,0.0000,736,5000
0.13,5000,450.0,2.2221,0.0000,736,5000
0.13,5000,266.0,3.7593,0.7590,736,5000
0.13,5000,532.7,1.8772,0.0000,736,5000
0.14,5000,521.1,1.9192,0.0000,736,5000
0.14,5000,387.9,2.5779,0.0000,736,5000
0.14,5000,343.2,2.9139,0.0000,736,5000
0.14,5000,401.8,2.4885,0.0000,736,5000
0.15,5000,406.7,2.4586,0.0000,736,5000
0.15,5000,551.6,1.8128,0.0000,736,5000
0.15,5000,249.8,4.0027,0.9874,736,5000
0.16,5000,213.4,4.6853,0.0000,734,5000
0.16,5000,545.1,1.8344,0.0000,734,5000
0.16,5000,478.8,2.0887,0.0000,734,5000
0.16,5000,407.9,2.4515,0.0000,734,5000
0.17,5000,555.6,1.7997,0.0000,734,5000
0.17,5000,564.5,1.7715,0.0000,734,5000
0.17,5000,247.4,4.0417,0.8890,734,5000
0.17,5000,546.0,1.8314,0.0000,734,5000
0.18,5000,559.6,1.7871,0.0000,734,5000
0.18,5000,481.3,2.0778,0.0000,734,5000
0.18,5000,554.3,1.8041,0.0000,734,5000
0.18,5000,545.9,1.8318,0.0000,734,5000
0.18,5000,515.8,1.9387,0.0000,734,5000
0.18,5000,535.6,1.8670,0.0000,734,5000
0.19,5000,465.6,2.1479,0.0000,734,5000
0.19,5000,533.9,1.8729,0.0000,734,5000
0.19,5000,218.0,4.5882,0.7603,734,5000
0.20,5000,464.7,2.1519,0.0000,734,5000
0.20,5000,503.2,1.9872,0.0000,734,5000
0.20,5000,485.8,2.0585,0.0000,734,5000
0.20,5000,446.8,2.2383,0.0000,734,5000
0.20,5000,390.4,2.5615,0.0000,735,5000
0.21,5000,528.6,1.8918,0.0000,735,5000
0.21,5000,472.1,2.1183,0.0000,735,5000
0.21,5000,226.7,4.4114,0.8410,735,5000
0.22,5000,368.9,2.7110,0.0000,735,5000
0.22,5000,375.6,2.6626,0.0000,735,5000
0.22,5000,368.7,2.7123,0.0000,735,5000
0.22,5000,329.3,3.0370,0.0000,735,5000
0.23,5000,373.8,2.6749,0.0000,735,5000
0.23,5000,514.9,1.9421,0.0000,735,5000
0.23,5000,270.5,3.6964,0.7236,735,5000
0.23,5000,524.7,1.9058,0.0000,735,5000
0.24,5000,492.4,2.0308,0.0000,735,5000
0.24,5000,552.1,1.8113,0.0000,735,5000
0.24,5000,560.4,1.7843,0.0000,735,5000
0.24,5000,564.7,1.7710,0.0000,735,5000
